date,meantemp
2013-01-01,10
2013-01-02,7.4
2013-01-03,7.16666666666667
2013-01-04,8.66666666666667
2013-01-05,6
2013-01-06,7
2013-01-07,7
2013-01-08,8.85714285714286
2013-01-09,14
2013-01-10,11
2013-01-11,15.7142857142857
2013-01-12,14
2013-01-13,15.8333333333333
2013-01-14,12.8333333333333
2013-01-15,14.7142857142857
2013-01-16,13.8333333333333
2013-01-17,16.5
2013-01-18,13.8333333333333
2013-01-19,12.5
2013-01-20,11.2857142857143
2013-01-21,11.2
2013-01-22,9.5
2013-01-23,14
2013-01-24,13.8333333333333
2013-01-25,12.25
2013-01-26,12.6666666666667
2013-01-27,12.8571428571429
2013-01-28,14.8333333333333
2013-01-29,14.125
2013-01-30,14.7142857142857
2013-01-31,16.2
2013-02-01,16
2013-02-02,16.2857142857143
2013-02-03,18
2013-02-04,17.4285714285714
2013-02-05,16.625
2013-02-06,16.6666666666667
2013-02-07,15.6
2013-02-08,14
2013-02-09,15.4285714285714
2013-02-10,15.25
2013-02-11,15.875
2013-02-12,15.3333333333333
2013-02-13,16.2857142857143
2013-02-14,17.3333333333333
2013-02-15,19.1666666666667
2013-02-16,14.4285714285714
2013-02-17,13.6666666666667
2013-02-18,15.6
2013-02-19,15.8571428571429
2013-02-20,17.7142857142857
2013-02-21,20
2013-02-22,20.5
2013-02-23,17.4285714285714
2013-02-24,16.8571428571429
2013-02-25,16.875
2013-02-26,17.8571428571429
2013-02-27,20.8
2013-02-28,19.4285714285714
2013-03-01,17.3333333333333
2013-03-02,19
2013-03-03,19.3333333333333
2013-03-04,17.6
2013-03-05,20.875
2013-03-06,20.8571428571429
2013-03-07,23.4285714285714
2013-03-08,24.1666666666667
2013-03-09,25.4285714285714
2013-03-10,23.1428571428571
2013-03-11,24
2013-03-12,23.5
2013-03-13,21.5
2013-03-14,22.3333333333333
2013-03-15,24.1666666666667
2013-03-16,20.3333333333333
2013-03-17,22.6666666666667
2013-03-18,23.4285714285714
2013-03-19,22.5
2013-03-20,29.1666666666667
2013-03-21,23.8333333333333
2013-03-22,25.25
2013-03-23,27.375
2013-03-24,27
2013-03-25,23.5
2013-03-26,24.1428571428571
2013-03-27,21
2013-03-28,22.4285714285714
2013-03-29,21.25
2013-03-30,23.5
2013-03-31,23.2
2013-04-01,25.375
2013-04-02,25.1666666666667
2013-04-03,26.2
2013-04-04,24.6
2013-04-05,25.6
2013-04-06,25.8571428571429
2013-04-07,29.1428571428571
2013-04-08,28.7142857142857
2013-04-09,30.1666666666667
2013-04-10,30
2013-04-11,30
2013-04-12,28.8571428571429
2013-04-13,30.2
2013-04-14,28.25
2013-04-15,28.25
2013-04-16,32.125
2013-04-17,29.2
2013-04-18,30.2857142857143
2013-04-19,28.2857142857143
2013-04-20,30.625
2013-04-21,27.6666666666667
2013-04-22,27.375
2013-04-23,28.625
2013-04-24,30.2857142857143
2013-04-25,31.1428571428571
2013-04-26,29.875
2013-04-27,31.1428571428571
2013-04-28,30.5714285714286
2013-04-29,32.125
2013-04-30,31.1428571428571
2013-05-01,31.8571428571429
2013-05-02,29.8333333333333
2013-05-03,28.5714285714286
2013-05-04,32.8571428571429
2013-05-05,32.625
2013-05-06,32.75
2013-05-07,32.875
2013-05-08,34.5
2013-05-09,34.2857142857143
2013-05-10,34
2013-05-11,30.75
2013-05-12,29.8571428571429
2013-05-13,31.7142857142857
2013-05-14,32.2857142857143
2013-05-15,33
2013-05-16,33
2013-05-17,32.8333333333333
2013-05-18,31.4
2013-05-19,35.3333333333333
2013-05-20,36.4
2013-05-21,36
2013-05-22,36.75
2013-05-23,37.5
2013-05-24,38.4285714285714
